epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8197,1.18536,4.90408,0.98901,0.00197,0.48232,0.0572,0.04021,0.9733,4.65739,1.04609,0.0001,0.0001,0.0001
2,80.6168,1.02641,4.20161,0.94655,0.00277,0.5101,0.1113,0.08954,0.91207,4.45959,0.97905,0.000205487,0.000205487,0.000205487
3,120.555,0.89731,2.602,0.92584,0.00271,0.5101,0.12579,0.10614,0.9916,4.23547,0.97569,0.00030355,0.00030355,0.00030355
4,160.772,1.15517,3.01984,0.97549,0.00306,0.57071,0.13753,0.10427,1.10189,4.10904,1.03386,0.000394188,0.000394188,0.000394188
5,196.026,0.97693,2.34008,0.96515,0.00309,0.59596,0.17765,0.13295,1.01729,4.13837,1.03056,0.0004774,0.0004774,0.0004774
6,233.127,0.85627,2.83067,0.87551,0.00387,0.67929,0.24262,0.16387,1.03783,4.19479,0.99852,0.000553188,0.000553188,0.000553188
7,269.908,0.87321,2.09105,0.96082,0.00475,0.79798,0.41581,0.26777,1.02736,3.98606,0.98226,0.00062155,0.00062155,0.00062155
8,310.395,0.99586,2.22179,0.95561,0.00468,0.83081,0.44973,0.29677,1.09806,4.087,1.04569,0.000682487,0.000682487,0.000682487
9,348.213,0.79066,1.90931,0.92452,0.00436,0.80303,0.38837,0.26248,1.04996,4.11984,1.05918,0.000736,0.000736,0.000736
10,384.081,0.79646,2.13989,0.90448,1,0.05224,0.45124,0.31399,1.04975,3.8661,1.17913,0.000782088,0.000782088,0.000782088
11,419.546,0.8734,1.72378,1.02212,0.83138,0.13654,0.52295,0.37374,1.12532,3.94634,1.11183,0.00082075,0.00082075,0.00082075
12,454.7,0.89325,2.22358,0.92982,0.83539,0.28012,0.56588,0.3823,1.2078,3.68311,1.13465,0.00079625,0.00079625,0.00079625
13,489.822,0.81133,1.86145,0.88635,0.7779,0.35606,0.55884,0.37964,1.24503,3.48249,1.19555,0.000755,0.000755,0.000755
14,525.487,0.8237,2.23957,0.91744,0.74253,0.41667,0.5928,0.40447,1.32005,3.41573,1.30802,0.00071375,0.00071375,0.00071375
15,561.273,0.78942,1.9952,0.94434,0.88973,0.35162,0.54032,0.37612,1.24671,3.16968,1.17896,0.0006725,0.0006725,0.0006725
16,597.303,0.78708,1.70001,0.87855,0.83821,0.42954,0.5588,0.38757,1.21473,3.07372,1.14881,0.00063125,0.00063125,0.00063125
17,633.342,0.78536,1.6612,0.91223,0.41617,0.44192,0.55505,0.37072,1.17043,2.86314,1.11599,0.00059,0.00059,0.00059
18,670.202,0.91486,1.62558,1.06726,0.42512,0.45183,0.5177,0.36805,1.1739,2.9305,1.13642,0.00054875,0.00054875,0.00054875
19,706.433,1.05102,1.93107,0.98653,0.78048,0.4321,0.53371,0.37753,1.12471,2.92307,1.10001,0.0005075,0.0005075,0.0005075
20,742.41,0.86134,1.72965,0.91025,0.80046,0.43097,0.55701,0.39996,1.13618,2.67064,1.1585,0.00046625,0.00046625,0.00046625
21,778.548,0.68288,1.83591,0.85378,0.84465,0.43939,0.58934,0.40625,1.11467,2.67752,1.20769,0.000425,0.000425,0.000425
22,814.573,0.68688,1.83784,0.8487,0.77938,0.46489,0.59141,0.4086,1.09229,2.6539,1.21465,0.00038375,0.00038375,0.00038375
23,850.984,0.84112,2.22384,0.8475,0.79611,0.4642,0.59716,0.41591,1.05596,2.58751,1.19097,0.0003425,0.0003425,0.0003425
24,887.483,0.63616,1.77812,0.86829,0.7927,0.46416,0.57845,0.39562,1.03328,2.69093,1.15321,0.00030125,0.00030125,0.00030125
25,923.537,0.77235,1.96063,0.85496,0.77913,0.43939,0.55492,0.39561,1.01783,2.72134,1.12461,0.00026,0.00026,0.00026
26,959.552,0.68144,1.85494,0.82309,0.75622,0.58333,0.62932,0.41807,1.04368,2.7212,1.11351,0.00021875,0.00021875,0.00021875
27,995.903,0.59807,2.33941,0.74762,0.82779,0.49289,0.6472,0.4631,1.02866,2.61281,1.1093,0.0001775,0.0001775,0.0001775
28,1032.13,0.61903,1.78517,0.84249,0.45376,0.71026,0.65047,0.46253,1.01239,2.56285,1.10436,0.00013625,0.00013625,0.00013625
29,1068.33,0.58616,1.6994,0.83932,0.47458,0.76915,0.68105,0.49618,0.99699,2.48042,1.09771,9.5e-05,9.5e-05,9.5e-05
30,1104.47,0.60657,1.76499,0.82903,0.48339,0.79277,0.687,0.50013,0.99099,2.4501,1.09489,5.375e-05,5.375e-05,5.375e-05
