epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.705,0.73914,1.59843,1.06986,0.90578,0.8141,0.88914,0.70771,0.77158,1.65172,1.09348,0.00066087,0.00066087,0.00066087
2,1164.73,0.79029,1.1869,1.07719,0.83537,0.86218,0.8807,0.685,0.83696,1.38317,1.1474,0.00128373,0.00128373,0.00128373
3,1677.19,0.81207,1.04653,1.09416,0.90009,0.875,0.93878,0.73477,0.77973,1.08379,1.11496,0.00186259,0.00186259,0.00186259
4,2218.46,0.7901,0.85939,1.07826,0.9454,0.90705,0.93656,0.76473,0.72545,0.88542,1.05795,0.001802,0.001802,0.001802
5,2762.36,0.76625,0.83909,1.05634,0.9069,0.83013,0.90486,0.72623,0.7562,0.96172,1.04844,0.001736,0.001736,0.001736
6,3294.44,0.76382,0.75144,1.05782,0.95823,0.87821,0.91411,0.73277,0.75187,0.78746,1.06942,0.00167,0.00167,0.00167
7,3844.22,0.72667,0.66515,1.03165,0.92665,0.90705,0.93249,0.7807,0.67643,0.68677,1.0309,0.001604,0.001604,0.001604
8,4410.51,0.7297,0.64095,1.03857,0.96149,0.91987,0.95628,0.78617,0.6664,0.5813,1.0139,0.001538,0.001538,0.001538
9,5225.12,0.68455,0.57146,1.02399,0.95257,0.92628,0.95093,0.79043,0.66817,0.60261,1.03036,0.001472,0.001472,0.001472
10,6097.42,0.68483,0.5525,1.02671,0.94498,0.93588,0.94814,0.80023,0.65731,0.54553,1.00078,0.001406,0.001406,0.001406
11,6738.99,0.62623,0.5086,0.99463,0.95997,0.9391,0.95862,0.80793,0.6274,0.49758,1.00813,0.00134,0.00134,0.00134
12,7760.06,0.62457,0.48837,1.00227,0.94362,0.9119,0.94327,0.80052,0.6376,0.50853,1.00815,0.001274,0.001274,0.001274
13,8390.21,0.63393,0.48447,1.00345,0.94942,0.91346,0.954,0.80125,0.63507,0.49646,1.00459,0.001208,0.001208,0.001208
14,8941.82,0.63387,0.4947,1.0063,0.94863,0.94694,0.96217,0.81727,0.61058,0.45643,0.99371,0.001142,0.001142,0.001142
15,9533.6,0.61813,0.48272,1.01034,0.94803,0.93553,0.95722,0.82983,0.6027,0.46761,0.98682,0.001076,0.001076,0.001076
16,10081.5,0.59881,0.4567,0.98967,0.96897,0.93269,0.95941,0.81989,0.59021,0.43312,0.98585,0.00101,0.00101,0.00101
17,10610.6,0.56255,0.43544,0.97221,0.95626,0.92949,0.95956,0.83499,0.59281,0.44058,0.9998,0.000944,0.000944,0.000944
18,11135.1,0.5888,0.42411,0.98671,0.95099,0.94231,0.95821,0.84094,0.59024,0.44004,0.98605,0.000878,0.000878,0.000878
19,11657.5,0.58994,0.42808,0.97226,0.95679,0.94231,0.9638,0.83689,0.59117,0.43476,0.97817,0.000812,0.000812,0.000812
20,12186.1,0.56147,0.39991,0.96251,0.95152,0.94361,0.95814,0.84221,0.58682,0.42819,0.97013,0.000746,0.000746,0.000746
21,12697.4,0.51354,0.37006,0.92666,0.9473,0.94231,0.95843,0.82564,0.58136,0.44348,0.98103,0.00068,0.00068,0.00068
22,13212.4,0.5005,0.34524,0.91558,0.96056,0.93662,0.95745,0.83043,0.58241,0.42535,0.97258,0.000614,0.000614,0.000614
23,13731.3,0.49404,0.33888,0.91212,0.95729,0.93392,0.96454,0.84977,0.57392,0.42657,0.9532,0.000548,0.000548,0.000548
24,14246.9,0.48925,0.33286,0.92124,0.96348,0.9391,0.97417,0.84536,0.57809,0.40662,0.97218,0.000482,0.000482,0.000482
25,14763.7,0.46555,0.32405,0.89584,0.95887,0.93269,0.96628,0.85214,0.5514,0.39389,0.9603,0.000416,0.000416,0.000416
26,15280.6,0.45865,0.30832,0.90159,0.94296,0.96154,0.9712,0.85968,0.55607,0.38616,0.95753,0.00035,0.00035,0.00035
27,15796.5,0.44774,0.29842,0.89936,0.94288,0.96154,0.97275,0.86834,0.53103,0.36876,0.93689,0.000284,0.000284,0.000284
28,16320.2,0.4411,0.28423,0.88551,0.93649,0.96474,0.97291,0.86633,0.52598,0.3697,0.93839,0.000218,0.000218,0.000218
29,16958,0.42543,0.27874,0.88357,0.9375,0.96159,0.96667,0.8669,0.52007,0.35791,0.93386,0.000152,0.000152,0.000152
30,17680.4,0.42007,0.26762,0.87691,0.94459,0.96154,0.96941,0.87138,0.5114,0.35158,0.93224,8.6e-05,8.6e-05,8.6e-05
